index,County,Precinct,Registered Voters,Blake Tillery (I) (Rep)_Election Day Votes,Blake Tillery (I) (Rep)_Advanced Voting Votes,Blake Tillery (I) (Rep)_Absentee by Mail Votes,Blake Tillery (I) (Rep)_Provisional Votes,Blake Tillery (I) (Rep)_Choice Total,Total,
0,Long,Beards Creek,1539,253,308,88,2,651,651,
1,Long,Rye Patch/Oak Dale,3131,387,833,146,4,1370,1370,
2,Long,South Ludowici,1392,128,278,60,2,468,468,
3,Long,North Ludowici,2281,219,557,114,3,893,893,
4,Long,Tibet,920,162,281,32,0,475,475,
5,Long,Alma Flournoy,298,68,94,14,2,178,178,
6,Long,Faith Baptist Annex,909,102,276,37,1,416,416,
