index,County,Precinct,Registered Voters,Craig Nobles (I) (Rep)_Election Day Votes,Craig Nobles (I) (Rep)_Advanced Voting Votes,Craig Nobles (I) (Rep)_Absentee by Mail Votes,Craig Nobles (I) (Rep)_Provisional Votes,Craig Nobles (I) (Rep)_Choice Total,Total,
0,Long,Beards Creek,1539,279,350,118,2,749,749,
1,Long,Rye Patch/Oak Dale,3131,385,857,165,5,1412,1412,
2,Long,South Ludowici,1392,131,315,79,1,526,526,
3,Long,North Ludowici,2281,227,582,126,3,938,938,
4,Long,Tibet,920,159,284,38,0,481,481,
5,Long,Alma Flournoy,298,65,95,16,2,178,178,
6,Long,Faith Baptist Annex,909,99,286,39,1,425,425,
