index,County,Precinct,Registered Voters,Buddy Deloach (Rep)_Election Day Votes,Buddy Deloach (Rep)_Advanced Voting Votes,Buddy Deloach (Rep)_Absentee by Mail Votes,Buddy Deloach (Rep)_Provisional Votes,Buddy Deloach (Rep)_Choice Total,Total,
0,Long,Beards Creek,1539,261,325,87,2,675,675,
1,Long,Rye Patch/Oak Dale,3131,390,849,151,3,1393,1393,
2,Long,South Ludowici,1392,129,293,64,2,488,488,
3,Long,North Ludowici,2281,224,578,112,3,917,917,
4,Long,Tibet,920,166,290,34,0,490,490,
5,Long,Alma Flournoy,298,68,101,15,2,186,186,
6,Long,Faith Baptist Annex,909,104,283,39,1,427,427,
