index,County,Precinct,Registered Voters,"Emmett M. Patterson, Jr. (I) (Rep)_Election Day Votes","Emmett M. Patterson, Jr. (I) (Rep)_Advanced Voting Votes","Emmett M. Patterson, Jr. (I) (Rep)_Absentee by Mail Votes","Emmett M. Patterson, Jr. (I) (Rep)_Provisional Votes","Emmett M. Patterson, Jr. (I) (Rep)_Choice Total",Rondy C. Bacon (Dem)_Election Day Votes,Rondy C. Bacon (Dem)_Advanced Voting Votes,Rondy C. Bacon (Dem)_Absentee by Mail Votes,Rondy C. Bacon (Dem)_Provisional Votes,Rondy C. Bacon (Dem)_Choice Total,Total,
0,Long,Beards Creek,1539,199,255,49,1,504,92,126,90,1,309,813,
1,Long,Rye Patch/Oak Dale,3131,334,633,97,4,1068,81,356,129,1,567,1635,
2,Long,South Ludowici,1392,83,209,29,0,321,68,166,77,3,314,635,
3,Long,North Ludowici,2281,159,401,62,2,624,94,300,107,0,501,1125,
4,Long,Tibet,920,146,267,28,0,441,23,51,16,0,90,531,
5,Long,Alma Flournoy,298,62,92,11,1,166,7,12,12,1,32,198,
6,Long,Faith Baptist Annex,909,86,242,31,0,359,23,78,22,1,124,483,
