index,County,Precinct,Registered Voters,Sherry McFann Long (I) (Rep)_Election Day Votes,Sherry McFann Long (I) (Rep)_Advanced Voting Votes,Sherry McFann Long (I) (Rep)_Absentee by Mail Votes,Sherry McFann Long (I) (Rep)_Provisional Votes,Sherry McFann Long (I) (Rep)_Choice Total,Total,
0,Long,Beards Creek,1539,265,336,108,2,711,711,
1,Long,Rye Patch/Oak Dale,3131,397,855,165,5,1422,1422,
2,Long,South Ludowici,1392,129,305,77,2,513,513,
3,Long,North Ludowici,2281,228,584,120,2,934,934,
4,Long,Tibet,920,163,284,36,0,483,483,
5,Long,Alma Flournoy,298,69,102,15,2,188,188,
6,Long,Faith Baptist Annex,909,101,284,38,1,424,424,
