index,County,Precinct,Registered Voters,Billy Nelson (I) (Rep)_Election Day Votes,Billy Nelson (I) (Rep)_Advanced Voting Votes,Billy Nelson (I) (Rep)_Absentee by Mail Votes,Billy Nelson (I) (Rep)_Provisional Votes,Billy Nelson (I) (Rep)_Choice Total,Total,
0,Long,Beards Creek,1539,253,324,89,2,668,668,
1,Long,Rye Patch/Oak Dale,3131,385,839,159,5,1388,1388,
2,Long,South Ludowici,1392,124,291,69,2,486,486,
3,Long,North Ludowici,2281,223,563,116,2,904,904,
4,Long,Tibet,920,162,288,34,0,484,484,
5,Long,Alma Flournoy,298,62,98,16,2,178,178,
6,Long,Faith Baptist Annex,909,102,272,36,1,411,411,
