index,County,Precinct,Registered Voters,Barry H. Babb (I) (Rep)_Election Day Votes,Barry H. Babb (I) (Rep)_Advanced Voting Votes,Barry H. Babb (I) (Rep)_Absentee by Mail Votes,Barry H. Babb (I) (Rep)_Provisional Votes,Barry H. Babb (I) (Rep)_Choice Total,Chris Pigors (Dem)_Election Day Votes,Chris Pigors (Dem)_Advanced Voting Votes,Chris Pigors (Dem)_Absentee by Mail Votes,Chris Pigors (Dem)_Provisional Votes,Chris Pigors (Dem)_Choice Total,Total,
0,Fayette,Blackrock,2699,99,339,257,6,701,126,676,416,3,1221,1922,
1,Fayette,Brooks,2567,545,868,335,2,1750,30,89,111,0,230,1980,
2,Fayette,Europe,3310,65,256,165,2,488,185,1023,687,13,1908,2396,
3,Fayette,Fayetteville East,2147,89,339,205,4,637,93,411,239,3,746,1383,
4,Fayette,Fayetteville West,2362,132,419,211,0,762,83,448,269,1,801,1563,
5,Fayette,Flint,1732,137,243,152,0,532,83,410,198,0,691,1223,
6,Fayette,Hopeful,2309,163,393,155,0,711,142,453,314,1,910,1621,
7,Fayette,Morning Creek,3059,125,503,370,1,999,139,625,417,1,1182,2181,
8,Fayette,Rareover,3045,163,1280,227,2,1672,46,453,152,0,651,2323,
9,Fayette,Sandy Creek,4848,153,1025,280,2,1460,168,1339,511,4,2022,3482,
10,Fayette,Shakerag East,1689,196,495,143,2,836,60,209,125,0,394,1230,
11,Fayette,Shakerag West,1236,53,516,152,1,722,20,173,124,1,318,1040,
12,Fayette,Starrsmill,3572,401,1025,440,0,1866,78,191,178,0,447,2313,
13,Fayette,Whitewater,3564,310,1261,451,6,2028,73,418,246,5,742,2770,
14,Fayette,Woolsey,2542,345,793,408,0,1546,34,124,140,0,298,1844,
15,Fayette,McIntosh,3323,206,1223,363,1,1793,56,441,283,1,781,2574,
16,Fayette,Oak Grove,1344,131,458,118,0,707,50,173,93,1,317,1024,
17,Fayette,Kedron,4862,349,1454,423,1,2227,165,824,447,3,1439,3666,
18,Fayette,Aberdeen,1805,136,656,189,0,981,45,225,99,0,369,1350,
19,Fayette,Windgate,1011,125,362,82,2,571,29,122,70,0,221,792,
20,Fayette,Flat Creek,2117,176,562,238,3,979,89,277,140,1,507,1486,
21,Fayette,Braelinn,1876,195,809,223,2,1229,25,136,97,0,258,1487,
22,Fayette,Kenwood,1014,64,118,65,0,247,79,236,181,2,498,745,
23,Fayette,Banks,1624,143,265,197,0,605,90,244,189,0,523,1128,
24,Fayette,Harps Crossing,1646,161,430,222,2,815,49,166,121,1,337,1152,
25,Fayette,Willow Pond,3100,221,773,301,7,1302,105,487,340,2,934,2236,
26,Fayette,Dogwood,3092,240,1074,360,3,1677,71,459,250,0,780,2457,
27,Fayette,Oak Ridge,2225,150,353,230,2,735,98,409,338,4,849,1584,
28,Fayette,Jeff Davis,2876,95,407,238,3,743,104,585,341,3,1033,1776,
29,Fayette,Murphy,3224,167,690,418,4,1279,100,565,331,0,996,2275,
30,Fayette,Fielding Ridge,3497,278,1315,299,0,1892,86,463,301,0,850,2742,
31,Fayette,Willowbend,2007,158,738,186,0,1082,45,246,131,0,422,1504,
32,Fayette,Camp Creek,1895,167,738,212,2,1119,29,209,125,0,363,1482,
33,Fayette,Rising Star,3833,380,1733,397,1,2511,70,452,262,1,785,3296,
34,Fayette,Spring Hill,3299,145,671,310,0,1126,82,642,420,1,1145,2271,
35,Fayette,Antioch,1956,275,412,213,1,901,82,193,160,0,435,1336,
