index,County,Precinct,Registered Voters,Valencia M. Seay (I) (Dem)_Election Day Votes,Valencia M. Seay (I) (Dem)_Advanced Voting Votes,Valencia M. Seay (I) (Dem)_Absentee by Mail Votes,Valencia M. Seay (I) (Dem)_Provisional Votes,Valencia M. Seay (I) (Dem)_Choice Total,Total,
0,Fayette,Blackrock,2699,192,826,510,6,1534,1534,
1,Fayette,Europe,3310,214,1170,794,15,2193,2193,
2,Fayette,Fayetteville East,2147,141,561,324,3,1029,1029,
3,Fayette,Fayetteville West,2362,150,623,369,1,1143,1143,
4,Fayette,Flint,1732,139,507,260,0,906,906,
5,Fayette,Hopeful,2309,210,620,392,1,1223,1223,
6,Fayette,Morning Creek,3059,193,834,571,1,1599,1599,
7,Fayette,Sandy Creek,4848,236,1756,624,5,2621,2621,
8,Fayette,Kenwood,1014,112,318,227,2,659,659,
9,Fayette,Banks,1624,155,354,282,0,791,791,
10,Fayette,Oak Ridge,2225,167,546,448,6,1167,1167,
11,Fayette,Jeff Davis,2876,167,779,444,5,1395,1395,
