index,County,Precinct,Registered Voters,Sheila Studdard (I) (Rep)_Election Day Votes,Sheila Studdard (I) (Rep)_Advanced Voting Votes,Sheila Studdard (I) (Rep)_Absentee by Mail Votes,Sheila Studdard (I) (Rep)_Provisional Votes,Sheila Studdard (I) (Rep)_Choice Total,Total,
0,Fayette,Blackrock,2699,165,624,370,8,1167,1167,
1,Fayette,Brooks,2567,554,902,371,1,1828,1828,
2,Fayette,Europe,3310,163,696,398,9,1266,1266,
3,Fayette,Fayetteville East,2147,150,541,282,3,976,976,
4,Fayette,Fayetteville West,2362,179,620,333,0,1132,1132,
5,Fayette,Flint,1732,179,412,199,0,790,790,
6,Fayette,Hopeful,2309,248,588,249,0,1085,1085,
7,Fayette,Morning Creek,3059,195,796,515,1,1507,1507,
8,Fayette,Rareover,3045,181,1506,278,3,1968,1968,
9,Fayette,Sandy Creek,4848,245,1611,461,4,2321,2321,
10,Fayette,Shakerag East,1689,228,592,188,2,1010,1010,
11,Fayette,Shakerag West,1236,64,570,183,1,818,818,
12,Fayette,Starrsmill,3572,448,1080,480,0,2008,2008,
13,Fayette,Whitewater,3564,350,1432,528,9,2319,2319,
14,Fayette,Woolsey,2542,353,852,430,0,1635,1635,
15,Fayette,McIntosh,3323,237,1394,463,2,2096,2096,
16,Fayette,Oak Grove,1344,152,545,150,1,848,848,
17,Fayette,Kedron,4862,440,1840,598,2,2880,2880,
18,Fayette,Aberdeen,1805,158,757,212,0,1127,1127,
19,Fayette,Windgate,1011,142,415,110,2,669,669,
20,Fayette,Flat Creek,2117,228,694,275,3,1200,1200,
21,Fayette,Braelinn,1876,209,863,266,2,1340,1340,
22,Fayette,Kenwood,1014,100,209,121,0,430,430,
23,Fayette,Banks,1624,185,383,260,0,828,828,
24,Fayette,Harps Crossing,1646,180,498,252,2,932,932,
25,Fayette,Willow Pond,3100,283,972,441,8,1704,1704,
26,Fayette,Dogwood,3092,283,1270,430,3,1986,1986,
27,Fayette,Oak Ridge,2225,208,547,352,3,1110,1110,
28,Fayette,Jeff Davis,2876,152,659,344,5,1160,1160,
29,Fayette,Murphy,3224,218,933,503,4,1658,1658,
30,Fayette,Fielding Ridge,3497,327,1537,416,0,2280,2280,
31,Fayette,Willowbend,2007,176,862,226,0,1264,1264,
32,Fayette,Camp Creek,1895,180,821,247,2,1250,1250,
33,Fayette,Rising Star,3833,412,1891,481,2,2786,2786,
34,Fayette,Spring Hill,3299,187,927,421,1,1536,1536,
35,Fayette,Antioch,1956,315,494,258,1,1068,1068,
