index,County,Precinct,Registered Voters,Ann S. Jackson (I) (Rep)_Election Day Votes,Ann S. Jackson (I) (Rep)_Advanced Voting Votes,Ann S. Jackson (I) (Rep)_Absentee by Mail Votes,Ann S. Jackson (I) (Rep)_Provisional Votes,Ann S. Jackson (I) (Rep)_Choice Total,Total,
0,Fayette,Blackrock,2699,164,612,362,9,1147,1147,
1,Fayette,Brooks,2567,551,904,373,0,1828,1828,
2,Fayette,Europe,3310,159,678,393,9,1239,1239,
3,Fayette,Fayetteville East,2147,147,541,281,2,971,971,
4,Fayette,Fayetteville West,2362,176,616,336,0,1128,1128,
5,Fayette,Flint,1732,179,416,200,0,795,795,
6,Fayette,Hopeful,2309,248,576,255,0,1079,1079,
7,Fayette,Morning Creek,3059,195,796,514,1,1506,1506,
8,Fayette,Rareover,3045,179,1502,282,2,1965,1965,
9,Fayette,Sandy Creek,4848,240,1592,463,3,2298,2298,
10,Fayette,Shakerag East,1689,227,585,187,2,1001,1001,
11,Fayette,Shakerag West,1236,63,567,184,1,815,815,
12,Fayette,Starrsmill,3572,443,1082,479,0,2004,2004,
13,Fayette,Whitewater,3564,351,1430,539,8,2328,2328,
14,Fayette,Woolsey,2542,348,860,433,0,1641,1641,
15,Fayette,McIntosh,3323,241,1404,467,2,2114,2114,
16,Fayette,Oak Grove,1344,154,543,153,1,851,851,
17,Fayette,Kedron,4862,435,1839,599,2,2875,2875,
18,Fayette,Aberdeen,1805,161,758,212,0,1131,1131,
19,Fayette,Windgate,1011,141,416,105,2,664,664,
20,Fayette,Flat Creek,2117,228,696,275,3,1202,1202,
21,Fayette,Braelinn,1876,208,859,266,1,1334,1334,
22,Fayette,Kenwood,1014,100,205,119,0,424,424,
23,Fayette,Banks,1624,189,375,255,0,819,819,
24,Fayette,Harps Crossing,1646,181,500,254,2,937,937,
25,Fayette,Willow Pond,3100,286,970,442,8,1706,1706,
26,Fayette,Dogwood,3092,285,1267,435,3,1990,1990,
27,Fayette,Oak Ridge,2225,209,547,341,3,1100,1100,
28,Fayette,Jeff Davis,2876,152,662,358,5,1177,1177,
29,Fayette,Murphy,3224,218,929,506,4,1657,1657,
30,Fayette,Fielding Ridge,3497,325,1528,414,0,2267,2267,
31,Fayette,Willowbend,2007,175,863,234,0,1272,1272,
32,Fayette,Camp Creek,1895,182,820,243,2,1247,1247,
33,Fayette,Rising Star,3833,420,1883,479,2,2784,2784,
34,Fayette,Spring Hill,3299,187,930,422,1,1540,1540,
35,Fayette,Antioch,1956,317,490,259,1,1067,1067,
