index,County,Precinct,Registered Voters,Eric K. Maxwell (I) (Rep)_Election Day Votes,Eric K. Maxwell (I) (Rep)_Advanced Voting Votes,Eric K. Maxwell (I) (Rep)_Absentee by Mail Votes,Eric K. Maxwell (I) (Rep)_Provisional Votes,Eric K. Maxwell (I) (Rep)_Choice Total,Vickie Butler (Dem)_Election Day Votes,Vickie Butler (Dem)_Advanced Voting Votes,Vickie Butler (Dem)_Absentee by Mail Votes,Vickie Butler (Dem)_Provisional Votes,Vickie Butler (Dem)_Choice Total,Total,
0,Fayette,Fayetteville West,2362,93,291,127,0,511,72,368,233,1,674,1185,
1,Fayette,Morning Creek,3059,14,63,65,0,142,5,39,44,0,88,230,
2,Fayette,Rareover,3045,149,1216,216,3,1584,53,505,156,0,714,2298,
3,Fayette,Sandy Creek,4848,70,525,131,1,727,51,353,154,0,558,1285,
4,Fayette,Shakerag East,1689,187,482,138,2,809,66,225,129,0,420,1229,
5,Fayette,Whitewater,3564,81,417,129,1,628,17,101,80,1,199,827,
6,Fayette,McIntosh,3323,204,1175,335,2,1716,56,477,306,0,839,2555,
7,Fayette,Willow Pond,3100,216,719,253,7,1195,108,534,390,2,1034,2229,
8,Fayette,Dogwood,3092,228,1013,322,3,1566,83,513,277,0,873,2439,
9,Fayette,Spring Hill,3299,126,617,267,0,1010,97,682,453,1,1233,2243,
