index,County,Precinct,Registered Voters,David Callahan (Rep)_Election Day Votes,David Callahan (Rep)_Advanced Voting Votes,David Callahan (Rep)_Absentee by Mail Votes,David Callahan (Rep)_Provisional Votes,David Callahan (Rep)_Choice Total,Debra Bazemore (I) (Dem)_Election Day Votes,Debra Bazemore (I) (Dem)_Advanced Voting Votes,Debra Bazemore (I) (Dem)_Absentee by Mail Votes,Debra Bazemore (I) (Dem)_Provisional Votes,Debra Bazemore (I) (Dem)_Choice Total,Total,
0,Fayette,Europe,3310,47,162,86,3,298,198,1121,765,13,2097,2395,
1,Fayette,Fayetteville East,2147,77,301,164,3,545,102,455,272,3,832,1377,
2,Fayette,Flint,1732,131,200,124,0,455,89,449,224,0,762,1217,
3,Fayette,Morning Creek,3059,43,134,66,0,243,81,315,216,0,612,855,
4,Fayette,Kenwood,1014,46,62,40,0,148,93,291,214,2,600,748,
5,Fayette,Banks,1624,126,240,167,0,533,105,273,227,0,605,1138,
6,Fayette,Willow Pond,3100,99,353,116,4,572,63,340,240,0,643,1215,
7,Fayette,Oak Ridge,2225,99,224,134,1,458,94,293,287,5,679,1137,
8,Fayette,Jeff Davis,2876,73,331,190,2,596,125,666,391,6,1188,1784,
9,Fayette,Spring Hill,3299,127,587,246,0,960,94,735,482,1,1312,2272,
