index,County,Precinct,Registered Voters,Kristie King (I) (Rep)_Election Day Votes,Kristie King (I) (Rep)_Advanced Voting Votes,Kristie King (I) (Rep)_Absentee by Mail Votes,Kristie King (I) (Rep)_Provisional Votes,Kristie King (I) (Rep)_Choice Total,Total,
0,Fayette,Blackrock,2699,162,617,385,9,1173,1173,
1,Fayette,Brooks,2567,557,900,387,1,1845,1845,
2,Fayette,Europe,3310,168,730,424,9,1331,1331,
3,Fayette,Fayetteville East,2147,152,556,289,4,1001,1001,
4,Fayette,Fayetteville West,2362,180,634,341,0,1155,1155,
5,Fayette,Flint,1732,180,427,211,0,818,818,
6,Fayette,Hopeful,2309,247,596,261,0,1104,1104,
7,Fayette,Morning Creek,3059,197,817,539,1,1554,1554,
8,Fayette,Rareover,3045,184,1509,288,3,1984,1984,
9,Fayette,Sandy Creek,4848,243,1619,480,5,2347,2347,
10,Fayette,Shakerag East,1689,228,597,188,2,1015,1015,
11,Fayette,Shakerag West,1236,65,571,186,1,823,823,
12,Fayette,Starrsmill,3572,449,1087,487,0,2023,2023,
13,Fayette,Whitewater,3564,357,1448,538,9,2352,2352,
14,Fayette,Woolsey,2542,351,854,441,0,1646,1646,
15,Fayette,McIntosh,3323,239,1409,473,2,2123,2123,
16,Fayette,Oak Grove,1344,156,543,157,1,857,857,
17,Fayette,Kedron,4862,445,1858,613,2,2918,2918,
18,Fayette,Aberdeen,1805,163,762,216,0,1141,1141,
19,Fayette,Windgate,1011,144,420,109,2,675,675,
20,Fayette,Flat Creek,2117,232,699,279,3,1213,1213,
21,Fayette,Braelinn,1876,210,866,265,2,1343,1343,
22,Fayette,Kenwood,1014,105,218,131,0,454,454,
23,Fayette,Banks,1624,193,385,263,0,841,841,
24,Fayette,Harps Crossing,1646,181,504,256,2,943,943,
25,Fayette,Willow Pond,3100,286,1001,448,8,1743,1743,
26,Fayette,Dogwood,3092,286,1274,449,3,2012,2012,
27,Fayette,Oak Ridge,2225,212,558,356,3,1129,1129,
28,Fayette,Jeff Davis,2876,153,682,360,5,1200,1200,
29,Fayette,Murphy,3224,220,948,517,4,1689,1689,
30,Fayette,Fielding Ridge,3497,329,1544,420,0,2293,2293,
31,Fayette,Willowbend,2007,178,873,229,0,1280,1280,
32,Fayette,Camp Creek,1895,183,837,258,2,1280,1280,
33,Fayette,Rising Star,3833,424,1911,479,2,2816,2816,
34,Fayette,Spring Hill,3299,189,952,428,1,1570,1570,
35,Fayette,Antioch,1956,320,497,272,1,1090,1090,
