index,County,Precinct,Registered Voters,Philip Singleton (I) (Rep)_Election Day Votes,Philip Singleton (I) (Rep)_Advanced Voting Votes,Philip Singleton (I) (Rep)_Absentee by Mail Votes,Philip Singleton (I) (Rep)_Provisional Votes,Philip Singleton (I) (Rep)_Choice Total,Jill Prouty (Dem)_Election Day Votes,Jill Prouty (Dem)_Advanced Voting Votes,Jill Prouty (Dem)_Absentee by Mail Votes,Jill Prouty (Dem)_Provisional Votes,Jill Prouty (Dem)_Choice Total,Total,
0,Fayette,Kedron,4862,182,902,273,0,1357,128,701,372,2,1203,2560,
1,Fayette,Fielding Ridge,3497,78,382,72,0,532,39,225,109,0,373,905,
