index,County,Precinct,Registered Voters,Marty Harbin (I) (Rep)_Election Day Votes,Marty Harbin (I) (Rep)_Advanced Voting Votes,Marty Harbin (I) (Rep)_Absentee by Mail Votes,Marty Harbin (I) (Rep)_Provisional Votes,Marty Harbin (I) (Rep)_Choice Total,Cinquez Jester (Dem)_Election Day Votes,Cinquez Jester (Dem)_Advanced Voting Votes,Cinquez Jester (Dem)_Absentee by Mail Votes,Cinquez Jester (Dem)_Provisional Votes,Cinquez Jester (Dem)_Choice Total,Total,
0,Fayette,Brooks,2567,533,849,314,1,1697,33,96,131,0,260,1957,
1,Fayette,Rareover,3045,154,1242,227,2,1625,54,486,152,0,692,2317,
2,Fayette,Shakerag East,1689,193,477,140,2,812,62,220,131,0,413,1225,
3,Fayette,Shakerag West,1236,51,497,138,1,687,21,187,137,1,346,1033,
4,Fayette,Starrsmill,3572,396,984,402,0,1782,81,221,208,0,510,2292,
5,Fayette,Whitewater,3564,305,1220,426,5,1956,73,441,270,6,790,2746,
6,Fayette,Woolsey,2542,331,764,373,0,1468,39,142,181,0,362,1830,
7,Fayette,McIntosh,3323,206,1188,341,1,1736,53,477,303,1,834,2570,
8,Fayette,Oak Grove,1344,130,444,103,0,677,49,188,106,1,344,1021,
9,Fayette,Kedron,4862,328,1388,401,1,2118,185,878,473,2,1538,3656,
10,Fayette,Aberdeen,1805,135,617,176,0,928,43,257,116,0,416,1344,
11,Fayette,Windgate,1011,118,347,70,2,537,31,139,83,0,253,790,
12,Fayette,Flat Creek,2117,163,543,226,2,934,99,297,150,0,546,1480,
13,Fayette,Braelinn,1876,189,788,216,2,1195,32,153,105,0,290,1485,
14,Fayette,Harps Crossing,1646,154,402,208,2,766,54,187,135,0,376,1142,
15,Fayette,Willow Pond,3100,211,707,265,7,1190,111,534,387,2,1034,2224,
16,Fayette,Dogwood,3092,230,1030,340,3,1603,75,501,266,0,842,2445,
17,Fayette,Murphy,3224,157,633,347,4,1141,104,615,398,1,1118,2259,
18,Fayette,Fielding Ridge,3497,276,1258,285,0,1819,85,525,328,0,938,2757,
19,Fayette,Willowbend,2007,150,703,176,0,1029,53,270,141,0,464,1493,
20,Fayette,Camp Creek,1895,161,708,189,1,1059,32,234,139,1,406,1465,
21,Fayette,Rising Star,3833,364,1657,392,1,2414,81,512,265,2,860,3274,
22,Fayette,Spring Hill,3299,136,611,271,0,1018,88,695,454,2,1239,2257,
23,Fayette,Antioch,1956,263,375,183,1,822,94,225,187,0,506,1328,
