index,County,Precinct,Registered Voters,Charles W. Oddo (I) (Rep)_Election Day Votes,Charles W. Oddo (I) (Rep)_Advanced Voting Votes,Charles W. Oddo (I) (Rep)_Absentee by Mail Votes,Charles W. Oddo (I) (Rep)_Provisional Votes,Charles W. Oddo (I) (Rep)_Choice Total,William Lightle (Dem)_Election Day Votes,William Lightle (Dem)_Advanced Voting Votes,William Lightle (Dem)_Absentee by Mail Votes,William Lightle (Dem)_Provisional Votes,William Lightle (Dem)_Choice Total,Total,
0,Fayette,Blackrock,2699,91,294,218,6,609,130,704,443,3,1280,1889,
1,Fayette,Brooks,2567,529,846,308,2,1685,35,100,135,0,270,1955,
2,Fayette,Europe,3310,57,194,119,4,374,191,1075,723,12,2001,2375,
3,Fayette,Fayetteville East,2147,84,309,182,3,578,96,438,259,4,797,1375,
4,Fayette,Fayetteville West,2362,130,374,173,0,677,79,488,297,1,865,1542,
5,Fayette,Flint,1732,133,211,122,0,466,86,437,217,0,740,1206,
6,Fayette,Hopeful,2309,157,344,114,0,615,142,486,349,0,977,1592,
7,Fayette,Morning Creek,3059,114,458,318,1,891,147,664,459,1,1271,2162,
8,Fayette,Rareover,3045,151,1218,213,3,1585,54,497,159,0,710,2295,
9,Fayette,Sandy Creek,4848,144,965,253,2,1364,169,1388,536,4,2097,3461,
10,Fayette,Shakerag East,1689,191,477,132,2,802,63,227,135,0,425,1227,
11,Fayette,Shakerag West,1236,54,492,139,1,686,18,190,130,1,339,1025,
12,Fayette,Starrsmill,3572,395,983,396,0,1774,79,217,204,0,500,2274,
13,Fayette,Whitewater,3564,308,1228,427,3,1966,71,430,266,4,771,2737,
14,Fayette,Woolsey,2542,332,758,362,0,1452,38,149,184,0,371,1823,
15,Fayette,McIntosh,3323,209,1173,341,2,1725,53,476,305,0,834,2559,
16,Fayette,Oak Grove,1344,124,440,101,1,666,51,187,108,0,346,1012,
17,Fayette,Kedron,4862,333,1371,394,1,2099,182,884,473,2,1541,3640,
18,Fayette,Aberdeen,1805,134,613,169,0,916,47,257,115,0,419,1335,
19,Fayette,Windgate,1011,118,344,75,2,539,30,142,73,0,245,784,
20,Fayette,Flat Creek,2117,168,533,215,3,919,93,291,150,1,535,1454,
21,Fayette,Braelinn,1876,189,785,216,2,1192,30,160,102,0,292,1484,
22,Fayette,Kenwood,1014,50,81,46,0,177,88,273,202,2,565,742,
23,Fayette,Banks,1624,132,255,176,0,563,99,253,205,0,557,1120,
24,Fayette,Harps Crossing,1646,151,403,199,2,755,55,186,135,1,377,1132,
25,Fayette,Willow Pond,3100,217,710,264,8,1199,106,544,383,1,1034,2233,
26,Fayette,Dogwood,3092,231,1020,323,3,1577,80,503,273,0,856,2433,
27,Fayette,Oak Ridge,2225,137,318,212,2,669,109,431,354,4,898,1567,
28,Fayette,Jeff Davis,2876,81,359,205,3,648,115,623,359,4,1101,1749,
29,Fayette,Murphy,3224,161,633,338,3,1135,104,604,403,1,1112,2247,
30,Fayette,Fielding Ridge,3497,279,1233,274,0,1786,80,538,330,0,948,2734,
31,Fayette,Willowbend,2007,147,701,174,0,1022,57,276,140,0,473,1495,
32,Fayette,Camp Creek,1895,158,708,190,1,1057,35,235,143,1,414,1471,
33,Fayette,Rising Star,3833,365,1642,376,1,2384,78,518,286,1,883,3267,
34,Fayette,Spring Hill,3299,130,616,274,0,1020,93,688,450,1,1232,2252,
35,Fayette,Antioch,1956,261,369,181,0,811,91,229,182,0,502,1313,
