index,County,Precinct,Registered Voters,Karen Mathiak (I) (Rep)_Election Day Votes,Karen Mathiak (I) (Rep)_Advanced Voting Votes,Karen Mathiak (I) (Rep)_Absentee by Mail Votes,Karen Mathiak (I) (Rep)_Provisional Votes,Karen Mathiak (I) (Rep)_Choice Total,William Harris (Dem)_Election Day Votes,William Harris (Dem)_Advanced Voting Votes,William Harris (Dem)_Absentee by Mail Votes,William Harris (Dem)_Provisional Votes,William Harris (Dem)_Choice Total,Total,
0,Fayette,Woolsey,2542,328,762,364,0,1454,43,147,185,0,375,1829,
1,Fayette,Harps Crossing,1646,151,402,200,2,755,54,189,142,1,386,1141,
2,Fayette,Murphy,3224,161,633,343,2,1139,107,625,409,1,1142,2281,
3,Fayette,Antioch,1956,253,370,180,1,804,102,233,190,0,525,1329,
