index,County,Precinct,Registered Voters,Drew Ferguson (I) (Rep)_Election Day Votes,Drew Ferguson (I) (Rep)_Advanced Voting Votes,Drew Ferguson (I) (Rep)_Absentee by Mail Votes,Drew Ferguson (I) (Rep)_Provisional Votes,Drew Ferguson (I) (Rep)_Choice Total,Val Almonord (Dem)_Election Day Votes,Val Almonord (Dem)_Advanced Voting Votes,Val Almonord (Dem)_Absentee by Mail Votes,Val Almonord (Dem)_Provisional Votes,Val Almonord (Dem)_Choice Total,Total,
0,Fayette,Blackrock,2699,86,279,209,6,580,137,738,467,3,1345,1925,
1,Fayette,Brooks,2567,535,847,308,2,1692,31,101,141,0,273,1965,
2,Fayette,Fayetteville East,2147,84,312,173,3,572,96,440,266,2,804,1376,
3,Fayette,Fayetteville West,2362,128,377,176,0,681,88,487,306,1,882,1563,
4,Fayette,Flint,1732,128,207,128,0,463,90,441,221,0,752,1215,
5,Fayette,Rareover,3045,159,1230,221,3,1613,51,501,164,0,716,2329,
6,Fayette,Sandy Creek,4848,108,614,157,0,879,135,1106,392,0,1633,2512,
7,Fayette,Shakerag East,1689,195,478,135,1,809,59,225,139,1,424,1233,
8,Fayette,Shakerag West,1236,50,500,136,1,687,22,187,143,1,353,1040,
9,Fayette,Starrsmill,3572,396,988,398,0,1782,82,226,217,0,525,2307,
10,Fayette,Whitewater,3564,305,1224,414,5,1948,73,448,290,6,817,2765,
11,Fayette,Woolsey,2542,330,761,368,0,1459,41,146,184,0,371,1830,
12,Fayette,McIntosh,3323,208,1192,340,1,1741,52,481,318,1,852,2593,
13,Fayette,Oak Grove,1344,127,434,106,1,668,52,198,106,0,356,1024,
14,Fayette,Kedron,4862,328,1367,380,1,2076,191,903,509,2,1605,3681,
15,Fayette,Aberdeen,1805,134,619,181,0,934,48,258,113,0,419,1353,
16,Fayette,Windgate,1011,119,338,69,2,528,32,148,85,0,265,793,
17,Fayette,Flat Creek,2117,167,534,225,3,929,95,300,157,1,553,1482,
18,Fayette,Braelinn,1876,185,786,209,2,1182,35,160,114,0,309,1491,
19,Fayette,Harps Crossing,1646,158,405,198,2,763,49,188,143,1,381,1144,
20,Fayette,Willow Pond,3100,217,705,258,7,1187,106,544,399,2,1051,2238,
21,Fayette,Dogwood,3092,154,675,219,3,1051,37,321,158,0,516,1567,
22,Fayette,Jeff Davis,2876,83,349,201,2,635,117,643,383,5,1148,1783,
23,Fayette,Murphy,3224,159,629,336,4,1128,105,624,410,1,1140,2268,
24,Fayette,Fielding Ridge,3497,277,1261,277,0,1815,86,529,346,0,961,2776,
25,Fayette,Willowbend,2007,150,707,171,0,1028,53,274,147,0,474,1502,
26,Fayette,Camp Creek,1895,164,705,185,1,1055,32,240,147,1,420,1475,
27,Fayette,Rising Star,3833,368,1660,378,1,2407,81,518,286,2,887,3294,
28,Fayette,Spring Hill,3299,137,610,268,0,1015,90,700,464,2,1256,2271,
29,Fayette,Antioch,1956,252,374,179,1,806,105,230,190,0,525,1331,
