index,County,Precinct,Registered Voters,Derrick L. Jackson (I) (Dem)_Election Day Votes,Derrick L. Jackson (I) (Dem)_Advanced Voting Votes,Derrick L. Jackson (I) (Dem)_Absentee by Mail Votes,Derrick L. Jackson (I) (Dem)_Provisional Votes,Derrick L. Jackson (I) (Dem)_Choice Total,Total,
0,Fayette,Blackrock,2699,193,839,516,5,1553,1553,
1,Fayette,Fayetteville West,2362,153,627,371,1,1152,1152,
2,Fayette,Hopeful,2309,212,607,393,1,1213,1213,
3,Fayette,Morning Creek,3059,96,471,345,0,912,912,
4,Fayette,Rareover,3045,130,996,260,1,1387,1387,
5,Fayette,Sandy Creek,4848,245,1780,632,5,2662,2662,
6,Fayette,Dogwood,3092,204,883,412,0,1499,1499,
7,Fayette,Oak Ridge,2225,40,182,115,1,338,338,
