index,County,Precinct,Registered Voters,Joe Weldon (I) (Rep)_Election Day Votes,Joe Weldon (I) (Rep)_Advanced Voting Votes,Joe Weldon (I) (Rep)_Absentee by Mail Votes,Joe Weldon (I) (Rep)_Provisional Votes,Joe Weldon (I) (Rep)_Choice Total,Total,
0,Harris,Cataula,2898,697,952,367,1,2017,2017,
1,Harris,Ellerslie,4211,926,1441,566,0,2933,2933,
2,Harris,Goodman,1649,335,411,197,1,944,944,
3,Harris,Hamilton,2739,525,910,292,5,1732,1732,
4,Harris,Lower 19th,2570,697,776,325,2,1800,1800,
5,Harris,Mulberry Grove,2908,614,1097,371,0,2082,2082,
6,Harris,Pine Mountain Valley,1121,440,231,104,2,777,777,
7,Harris,Skinner,894,304,134,106,1,545,545,
8,Harris,Upper 19th,1628,462,549,181,2,1194,1194,
9,Harris,Valley Plains,785,286,135,90,0,511,511,
10,Harris,Waverly Hall,2853,609,780,397,3,1789,1789,
11,Harris,Whitesville,1370,459,329,155,0,943,943,
