index,County,Precinct,Registered Voters,Harry F. Proctor (I)_Election Day Votes,Harry F. Proctor (I)_Advanced Voting Votes,Harry F. Proctor (I)_Absentee by Mail Votes,Harry F. Proctor (I)_Provisional Votes,Harry F. Proctor (I)_Choice Total,Total,
0,Harris,Ellerslie,4211,690,1070,436,0,2196,2196,
1,Harris,Waverly Hall,2853,409,529,287,1,1226,1226,
