index,County,Precinct,Registered Voters,Mike Jolley (I) (Rep)_Election Day Votes,Mike Jolley (I) (Rep)_Advanced Voting Votes,Mike Jolley (I) (Rep)_Absentee by Mail Votes,Mike Jolley (I) (Rep)_Provisional Votes,Mike Jolley (I) (Rep)_Choice Total,Total,
0,Harris,Cataula,2898,698,974,369,1,2042,2042,
1,Harris,Ellerslie,4211,935,1457,586,0,2978,2978,
2,Harris,Goodman,1649,336,422,198,1,957,957,
3,Harris,Hamilton,2739,542,947,309,5,1803,1803,
4,Harris,Lower 19th,2570,697,785,330,2,1814,1814,
5,Harris,Mulberry Grove,2908,609,1115,376,0,2100,2100,
6,Harris,Pine Mountain Valley,1121,432,229,104,2,767,767,
7,Harris,Skinner,894,311,135,110,2,558,558,
8,Harris,Upper 19th,1628,458,553,189,2,1202,1202,
9,Harris,Valley Plains,785,300,135,91,0,526,526,
10,Harris,Waverly Hall,2853,612,802,422,3,1839,1839,
11,Harris,Whitesville,1370,467,337,160,0,964,964,
