index,County,Precinct,Registered Voters,Randy Robertson (I) (Rep)_Election Day Votes,Randy Robertson (I) (Rep)_Advanced Voting Votes,Randy Robertson (I) (Rep)_Absentee by Mail Votes,Randy Robertson (I) (Rep)_Provisional Votes,Randy Robertson (I) (Rep)_Choice Total,Total,
0,Harris,Cataula,2898,677,923,341,1,1942,1942,
1,Harris,Ellerslie,4211,906,1389,524,0,2819,2819,
2,Harris,Goodman,1649,314,381,184,1,880,880,
3,Harris,Hamilton,2739,503,881,267,5,1656,1656,
4,Harris,Lower 19th,2570,696,751,299,2,1748,1748,
5,Harris,Mulberry Grove,2908,602,1066,349,0,2017,2017,
6,Harris,Pine Mountain Valley,1121,430,224,91,2,747,747,
7,Harris,Skinner,894,296,130,97,2,525,525,
8,Harris,Upper 19th,1628,441,552,178,2,1173,1173,
9,Harris,Valley Plains,785,271,130,71,0,472,472,
10,Harris,Waverly Hall,2853,592,749,359,2,1702,1702,
11,Harris,Whitesville,1370,449,321,148,0,918,918,
