index,County,Precinct,Registered Voters,Mark P. Jones (Dem)_Election Day Votes,Mark P. Jones (Dem)_Advanced Voting Votes,Mark P. Jones (Dem)_Absentee by Mail Votes,Mark P. Jones (Dem)_Provisional Votes,Mark P. Jones (Dem)_Choice Total,Total,
0,Harris,Cataula,2898,425,623,268,1,1317,1317,
1,Harris,Ellerslie,4211,519,971,509,0,1999,1999,
2,Harris,Goodman,1649,255,294,176,1,726,726,
3,Harris,Hamilton,2739,366,669,303,2,1340,1340,
4,Harris,Lower 19th,2570,396,510,258,1,1165,1165,
5,Harris,Mulberry Grove,2908,345,663,263,0,1271,1271,
6,Harris,Pine Mountain Valley,1121,263,154,75,2,494,494,
7,Harris,Skinner,894,257,88,107,2,454,454,
8,Harris,Upper 19th,1628,266,290,116,1,673,673,
9,Harris,Valley Plains,785,211,86,77,0,374,374,
10,Harris,Waverly Hall,2853,425,517,382,1,1325,1325,
11,Harris,Whitesville,1370,288,191,141,0,620,620,
