index,County,Precinct,Registered Voters,Richard H. Smith (I) (Rep)_Election Day Votes,Richard H. Smith (I) (Rep)_Advanced Voting Votes,Richard H. Smith (I) (Rep)_Absentee by Mail Votes,Richard H. Smith (I) (Rep)_Provisional Votes,Richard H. Smith (I) (Rep)_Choice Total,Carl Sprayberry (Dem)_Election Day Votes,Carl Sprayberry (Dem)_Advanced Voting Votes,Carl Sprayberry (Dem)_Absentee by Mail Votes,Carl Sprayberry (Dem)_Provisional Votes,Carl Sprayberry (Dem)_Choice Total,Total,
0,Harris,Cataula,2898,630,831,274,1,1736,100,214,178,0,492,2228,
1,Harris,Ellerslie,4211,833,1172,394,0,2399,127,439,352,0,918,3317,
