index,County,Precinct,Registered Voters,Bobby Irions (Rep)_Election Day Votes,Bobby Irions (Rep)_Advanced Voting Votes,Bobby Irions (Rep)_Absentee by Mail Votes,Bobby Irions (Rep)_Provisional Votes,Bobby Irions (Rep)_Choice Total,Total,
0,Harris,Cataula,2898,681,943,356,1,1981,1981,
1,Harris,Ellerslie,4211,54,57,22,0,133,133,
2,Harris,Hamilton,2739,141,257,67,1,466,466,
3,Harris,Mulberry Grove,2908,245,489,157,0,891,891,
