index,County,Precinct,Registered Voters,Drew Ferguson (I) (Rep)_Election Day Votes,Drew Ferguson (I) (Rep)_Advanced Voting Votes,Drew Ferguson (I) (Rep)_Absentee by Mail Votes,Drew Ferguson (I) (Rep)_Provisional Votes,Drew Ferguson (I) (Rep)_Choice Total,Val Almonord (Dem)_Election Day Votes,Val Almonord (Dem)_Advanced Voting Votes,Val Almonord (Dem)_Absentee by Mail Votes,Val Almonord (Dem)_Provisional Votes,Val Almonord (Dem)_Choice Total,Total,
0,Harris,Cataula,2898,629,817,266,1,1713,102,225,197,0,524,2237,
1,Harris,Ellerslie,4211,842,1176,395,0,2413,127,433,360,0,920,3333,
2,Harris,Goodman,1649,255,345,149,0,749,134,129,132,1,396,1145,
3,Harris,Hamilton,2739,433,767,174,4,1378,143,289,231,1,664,2042,
4,Harris,Lower 19th,2570,667,691,244,2,1604,59,158,177,0,394,1998,
5,Harris,Mulberry Grove,2908,580,1001,292,0,1873,53,177,149,0,379,2252,
6,Harris,Pine Mountain Valley,1121,410,215,81,2,708,45,39,44,0,128,836,
7,Harris,Skinner,894,265,112,85,1,463,94,45,77,1,217,680,
8,Harris,Upper 19th,1628,428,514,157,2,1101,52,76,57,0,185,1286,
9,Harris,Valley Plains,785,244,113,52,0,409,69,38,60,0,167,576,
10,Harris,Waverly Hall,2853,519,640,251,2,1412,149,245,272,1,667,2079,
11,Harris,Whitesville,1370,409,304,119,0,832,85,67,95,0,247,1079,
