"","state","county","pop_2010","pop_2011","pop_2012","pop_2013","pop_2014","pop_2015","pop_2016","pop_2017","pop_2018","pop_2019"
"1","Georgia","Appling County",18334,18459,18385,18370,18472,18423,18428,18438,18526,18386
"2","Georgia","Atkinson County",8364,8360,8255,8264,8215,8340,8244,8182,8262,8165
"3","Georgia","Bacon County",11062,11145,11150,11173,11178,11231,11275,11205,11132,11164
"4","Georgia","Baker County",3431,3311,3372,3348,3288,3194,3183,3159,3086,3038
"5","Georgia","Baldwin County",45704,45175,46510,46178,45910,45549,45259,44963,44893,44890
"6","Georgia","Banks County",18410,18249,18131,18221,18226,18381,18325,18628,18972,19234
"7","Georgia","Barrow County",69676,69844,70135,71239,72849,74979,77000,78899,80834,83240
"8","Georgia","Bartow County",100050,100116,100240,100917,101233,102043,103338,105098,106378,107738
"9","Georgia","Ben Hill County",17645,17591,17601,17450,17449,17357,17251,17037,16822,16700
"10","Georgia","Berrien County",19361,19378,19160,19059,18813,18991,18996,19108,19266,19397
"11","Georgia","Bibb County",155814,156211,156606,155031,154329,153945,153152,152840,152903,153159
"12","Georgia","Bleckley County",13036,13082,12890,12744,12713,12714,12864,12764,12821,12873
"13","Georgia","Brantley County",18479,18561,18532,18257,18366,18437,18415,18832,18985,19109
"14","Georgia","Brooks County",16246,15982,15617,15649,15526,15670,15725,15617,15479,15457
"15","Georgia","Bryan County",30377,31267,32251,33034,33664,34792,35839,36999,38059,39627
"16","Georgia","Bulloch County",70559,72637,73102,71816,72651,73116,74642,75991,77242,79608
"17","Georgia","Burke County",23336,23506,23048,22824,22621,22632,22601,22545,22439,22383
"18","Georgia","Butts County",23786,23609,23438,23218,23341,23520,23736,24067,24192,24936
"19","Georgia","Calhoun County",6697,6625,6565,6596,6506,6534,6359,6389,6353,6189
"20","Georgia","Camden County",50661,50303,51351,51404,51909,52439,52394,53005,53651,54666
"21","Georgia","Candler County",11025,11209,11102,10960,10865,10873,10849,10706,10827,10803
"22","Georgia","Carroll County",110655,110728,111412,112265,113933,114461,116077,117390,117997,119992
"23","Georgia","Catoosa County",64069,64753,64864,65221,65467,65778,66265,66495,67380,67580
"24","Georgia","Charlton County",12853,13455,13348,13107,13051,13239,12842,12810,12919,13392
"25","Georgia","Chatham County",265799,271623,276164,277650,282201,285959,288615,289309,289166,289430
"26","Georgia","Chattahoochee County",11182,11257,12265,12245,11696,11042,10047,10205,10600,10907
"27","Georgia","Chattooga County",25959,25685,25627,25049,24861,24905,24836,24746,24782,24789
