index,County,Precinct,Registered Voters,Joseph H. Page (I) (Rep)_Election Day Votes,Joseph H. Page (I) (Rep)_Advanced Voting Votes,Joseph H. Page (I) (Rep)_Absentee by Mail Votes,Joseph H. Page (I) (Rep)_Provisional Votes,Joseph H. Page (I) (Rep)_Choice Total,Total,
0,Walton,Bold Springs,4653,759,1907,629,0,3295,3295,
1,Walton,Whatley,1254,253,521,158,0,932,932,
2,Walton,Walker Park,3858,578,1519,467,0,2564,2564,
3,Walton,Gratis,1243,349,461,157,0,967,967,
4,Walton,Between,4925,343,2290,596,0,3229,3229,
5,Walton,Walnut Grove,2661,522,993,257,0,1772,1772,
6,Walton,Loganville North,5225,581,1816,615,0,3012,3012,
7,Walton,Social Circle,4604,844,1487,444,0,2775,2775,
8,Walton,South Monroe,3910,330,1406,425,0,2161,2161,
9,Walton,North Monroe,4818,491,1146,454,0,2091,2091,
10,Walton,Loganville South,3768,434,1288,491,0,2213,2213,
11,Walton,West Walton,4219,618,1766,533,0,2917,2917,
12,Walton,Broken Arrow,4380,621,1803,481,0,2905,2905,
13,Walton,Bay Creek,3401,379,1510,399,0,2288,2288,
14,Walton,E Monroe,4119,470,1075,339,0,1884,1884,
15,Walton,W Monroe,2027,268,922,251,0,1441,1441,
16,Walton,Tara,4050,363,1417,429,0,2209,2209,
17,Walton,Mountain,1657,302,622,186,0,1110,1110,
18,Walton,Jersey,1970,684,626,199,0,1509,1509,
19,Walton,Blasingame,1115,406,330,118,0,854,854,
20,Walton,Good Hope,2149,658,687,186,0,1531,1531,
