index,County,Precinct,Registered Voters,Mark C. Banks (I) (Rep)_Election Day Votes,Mark C. Banks (I) (Rep)_Advanced Voting Votes,Mark C. Banks (I) (Rep)_Absentee by Mail Votes,Mark C. Banks (I) (Rep)_Provisional Votes,Mark C. Banks (I) (Rep)_Choice Total,Fiera Hill (Dem)_Election Day Votes,Fiera Hill (Dem)_Advanced Voting Votes,Fiera Hill (Dem)_Absentee by Mail Votes,Fiera Hill (Dem)_Provisional Votes,Fiera Hill (Dem)_Choice Total,Total,
0,Walton,Loganville North,5225,249,670,272,0,1191,104,378,213,0,695,1886,
1,Walton,Loganville South,3768,331,1106,400,0,1837,161,369,230,0,760,2597,
2,Walton,West Walton,4219,413,1064,302,0,1779,72,255,127,0,454,2233,
3,Walton,Tara,4050,120,471,141,0,732,135,692,276,0,1103,1835,
