index,County,Precinct,Registered Voters,Bill Cowsert (I) (Rep)_Election Day Votes,Bill Cowsert (I) (Rep)_Advanced Voting Votes,Bill Cowsert (I) (Rep)_Absentee by Mail Votes,Bill Cowsert (I) (Rep)_Provisional Votes,Bill Cowsert (I) (Rep)_Choice Total,Zachary Perry (Dem)_Election Day Votes,Zachary Perry (Dem)_Advanced Voting Votes,Zachary Perry (Dem)_Absentee by Mail Votes,Zachary Perry (Dem)_Provisional Votes,Zachary Perry (Dem)_Choice Total,Total,
0,Walton,Bold Springs,4653,690,1770,542,0,3002,105,304,261,0,670,3672,
1,Walton,Walker Park,3858,515,1427,405,0,2347,96,200,169,0,465,2812,
2,Walton,Gratis,1243,331,438,137,0,906,19,37,56,0,112,1018,
3,Walton,Between,4925,316,2110,497,0,2923,54,351,254,0,659,3582,
4,Walton,Loganville North,5225,505,1566,484,0,2555,140,506,306,0,952,3507,
5,Walton,South Monroe,3910,266,1190,327,0,1783,102,403,211,0,716,2499,
6,Walton,North Monroe,4818,301,777,242,0,1320,287,683,495,0,1465,2785,
7,Walton,Loganville South,3768,327,1098,390,0,1815,162,376,246,0,784,2599,
8,Walton,West Walton,4219,556,1576,452,0,2584,93,362,198,0,653,3237,
9,Walton,Broken Arrow,4380,583,1649,399,0,2631,58,284,215,0,557,3188,
10,Walton,Bay Creek,3401,349,1390,346,0,2085,56,236,174,0,466,2551,
11,Walton,E Monroe,4119,339,806,224,0,1369,210,437,238,0,885,2254,
12,Walton,W Monroe,2027,239,848,209,0,1296,47,148,93,0,288,1584,
13,Walton,Tara,4050,277,1056,299,0,1632,164,814,356,0,1334,2966,
14,Walton,Mountain,1657,276,585,158,0,1019,42,79,53,0,174,1193,
15,Walton,Blasingame,1115,398,312,94,0,804,28,37,35,0,100,904,
16,Walton,Good Hope,2149,626,642,160,0,1428,47,92,73,0,212,1640,
