index,County,Precinct,Registered Voters,Timmy Shelnutt (I) (Rep)_Election Day Votes,Timmy Shelnutt (I) (Rep)_Advanced Voting Votes,Timmy Shelnutt (I) (Rep)_Absentee by Mail Votes,Timmy Shelnutt (I) (Rep)_Provisional Votes,Timmy Shelnutt (I) (Rep)_Choice Total,Total,
0,Walton,Walnut Grove,2661,522,991,253,0,1766,1766,
1,Walton,West Walton,4219,161,560,174,0,895,895,
2,Walton,Broken Arrow,4380,621,1809,482,0,2912,2912,
3,Walton,W Monroe,2027,10,47,12,0,69,69,
4,Walton,Tara,4050,168,641,180,0,989,989,
5,Walton,Jersey,1970,677,624,194,0,1495,1495,
