index,County,Precinct,Registered Voters,Derry M. Boyd (I) (Rep)_Election Day Votes,Derry M. Boyd (I) (Rep)_Advanced Voting Votes,Derry M. Boyd (I) (Rep)_Absentee by Mail Votes,Derry M. Boyd (I) (Rep)_Provisional Votes,Derry M. Boyd (I) (Rep)_Choice Total,Total,
0,Walton,Bold Springs,4653,765,1912,636,0,3313,3313,
1,Walton,Whatley,1254,251,517,158,0,926,926,
2,Walton,Walker Park,3858,575,1526,480,0,2581,2581,
3,Walton,Gratis,1243,348,463,160,0,971,971,
4,Walton,Between,4925,347,2292,600,0,3239,3239,
5,Walton,Walnut Grove,2661,524,993,255,0,1772,1772,
6,Walton,Loganville North,5225,586,1812,620,0,3018,3018,
7,Walton,Social Circle,4604,845,1488,446,0,2779,2779,
8,Walton,South Monroe,3910,330,1417,423,0,2170,2170,
9,Walton,North Monroe,4818,490,1137,450,0,2077,2077,
10,Walton,Loganville South,3768,431,1294,497,0,2222,2222,
11,Walton,West Walton,4219,616,1771,532,0,2919,2919,
12,Walton,Broken Arrow,4380,619,1805,486,0,2910,2910,
13,Walton,Bay Creek,3401,381,1512,399,0,2292,2292,
14,Walton,E Monroe,4119,474,1078,335,0,1887,1887,
15,Walton,W Monroe,2027,268,924,254,0,1446,1446,
16,Walton,Tara,4050,363,1419,428,0,2210,2210,
17,Walton,Mountain,1657,303,625,186,0,1114,1114,
18,Walton,Jersey,1970,688,631,198,0,1517,1517,
19,Walton,Blasingame,1115,406,335,122,0,863,863,
20,Walton,Good Hope,2149,663,687,188,0,1538,1538,
