index,County,Precinct,Registered Voters,Tom Kirby (I) (Rep)_Election Day Votes,Tom Kirby (I) (Rep)_Advanced Voting Votes,Tom Kirby (I) (Rep)_Absentee by Mail Votes,Tom Kirby (I) (Rep)_Provisional Votes,Tom Kirby (I) (Rep)_Choice Total,Total,
0,Walton,Bold Springs,4653,762,1905,625,0,3292,3292,
1,Walton,Between,4925,74,573,188,0,835,835,
2,Walton,Loganville North,5225,580,1806,613,0,2999,2999,
3,Walton,Loganville South,3768,430,1277,482,0,2189,2189,
4,Walton,West Walton,4219,615,1776,537,0,2928,2928,
5,Walton,Bay Creek,3401,362,1443,375,0,2180,2180,
6,Walton,Tara,4050,361,1405,428,0,2194,2194,
