index,County,Precinct,Registered Voters,Kirklyn L. Dixon (I) (Rep)_Election Day Votes,Kirklyn L. Dixon (I) (Rep)_Advanced Voting Votes,Kirklyn L. Dixon (I) (Rep)_Absentee by Mail Votes,Kirklyn L. Dixon (I) (Rep)_Provisional Votes,Kirklyn L. Dixon (I) (Rep)_Choice Total,Lidia Garrett (Dem)_Election Day Votes,Lidia Garrett (Dem)_Advanced Voting Votes,Lidia Garrett (Dem)_Absentee by Mail Votes,Lidia Garrett (Dem)_Provisional Votes,Lidia Garrett (Dem)_Choice Total,Total,
0,Walton,Walker Park,3858,89,176,48,0,313,13,34,41,0,88,401,
1,Walton,Gratis,1243,75,132,59,0,266,3,17,15,0,35,301,
2,Walton,South Monroe,3910,30,94,31,0,155,30,69,37,0,136,291,
3,Walton,North Monroe,4818,244,557,193,0,994,269,596,433,0,1298,2292,
4,Walton,E Monroe,4119,286,638,183,0,1107,199,400,208,0,807,1914,
5,Walton,Mountain,1657,49,116,36,0,201,15,33,17,0,65,266,
6,Walton,Blasingame,1115,25,39,5,0,69,2,13,8,0,23,92,
7,Walton,Good Hope,2149,88,124,36,0,248,18,58,33,0,109,357,
