index,County,Precinct,Registered Voters,David Breedlove (I) (Rep)_Election Day Votes,David Breedlove (I) (Rep)_Advanced Voting Votes,David Breedlove (I) (Rep)_Absentee by Mail Votes,David Breedlove (I) (Rep)_Provisional Votes,David Breedlove (I) (Rep)_Choice Total,Total,
0,Walton,Bold Springs,4653,375,963,346,0,1684,1684,
1,Walton,Walker Park,3858,574,1523,466,0,2563,2563,
2,Walton,Gratis,1243,347,461,155,0,963,963,
3,Walton,North Monroe,4818,112,380,113,0,605,605,
4,Walton,Mountain,1657,304,623,185,0,1112,1112,
