index,County,Precinct,Registered Voters,Marcia Kimbro Inman (Rep)_Election Day Votes,Marcia Kimbro Inman (Rep)_Advanced Voting Votes,Marcia Kimbro Inman (Rep)_Absentee by Mail Votes,Marcia Kimbro Inman (Rep)_Provisional Votes,Marcia Kimbro Inman (Rep)_Choice Total,Brenda W. Hicks (I) (Dem)_Election Day Votes,Brenda W. Hicks (I) (Dem)_Advanced Voting Votes,Brenda W. Hicks (I) (Dem)_Absentee by Mail Votes,Brenda W. Hicks (I) (Dem)_Provisional Votes,Brenda W. Hicks (I) (Dem)_Choice Total,Total,
0,Worth,Sylvester,3006,98,383,82,0,563,257,477,339,0,1073,1636,
1,Worth,Scooterville,603,184,135,28,0,347,17,17,15,0,49,396,
2,Worth,Minton,543,177,150,33,0,360,18,13,15,0,46,406,
3,Worth,Bridgeboro,1286,272,287,71,0,630,61,77,40,0,178,808,
4,Worth,County Line,887,166,173,46,0,385,22,47,35,0,104,489,
5,Worth,Isabella,1424,234,436,103,0,773,57,126,36,0,219,992,
6,Worth,Piney Woods,336,45,56,14,0,115,22,43,21,0,86,201,
7,Worth,Sylvester East,1406,160,391,82,0,633,47,171,76,0,294,927,
8,Worth,Poulan,887,213,187,46,0,446,43,62,33,0,138,584,
9,Worth,Sumner,871,198,178,46,0,422,48,53,42,0,143,565,
10,Worth,Shingler,554,168,137,27,0,332,23,35,25,0,83,415,
11,Worth,Red Rock,1287,263,224,47,0,534,53,60,68,0,181,715,
12,Worth,Doles,449,143,83,27,0,253,16,26,11,0,53,306,
13,Worth,Oakfield,229,53,42,6,0,101,8,16,23,0,47,148,
14,Worth,Warwick,701,162,114,38,0,314,71,23,65,0,159,473,
