index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Worth,Sylvester,3006,117,410,88,0,615,233,444,329,0,1006,9,17,5,0,31,1652,
1,Worth,Scooterville,603,196,143,33,0,372,7,8,11,0,26,3,2,0,0,5,403,
2,Worth,Minton,543,187,155,35,0,377,7,8,11,0,26,2,3,2,0,7,410,
3,Worth,Bridgeboro,1286,285,308,75,0,668,48,57,35,0,140,7,5,2,0,14,822,
4,Worth,County Line,887,171,179,45,0,395,14,38,34,0,86,4,6,2,0,12,493,
5,Worth,Isabella,1424,267,500,106,0,873,27,70,27,0,124,5,4,3,0,12,1009,
6,Worth,Piney Woods,336,44,63,16,0,123,23,39,19,0,81,2,2,0,0,4,208,
7,Worth,Sylvester East,1406,173,443,92,0,708,34,110,65,0,209,5,14,3,0,22,939,
8,Worth,Poulan,887,226,205,49,0,480,33,42,35,0,110,2,1,0,0,3,593,
9,Worth,Sumner,871,218,192,47,0,457,32,37,42,0,111,3,2,2,0,7,575,
10,Worth,Shingler,554,183,153,37,0,373,8,17,16,0,41,2,3,2,0,7,421,
11,Worth,Red Rock,1287,273,239,55,0,567,43,49,61,0,153,9,7,3,0,19,739,
12,Worth,Doles,449,157,90,30,0,277,7,17,10,0,34,0,2,2,0,4,315,
13,Worth,Oakfield,229,54,43,6,0,103,7,14,26,0,47,0,1,0,0,1,151,
14,Worth,Warwick,701,178,119,41,0,338,57,16,60,0,133,3,4,2,0,9,480,
