index,County,Precinct,Registered Voters,Marilyn C. Herring (Rep)_Election Day Votes,Marilyn C. Herring (Rep)_Advanced Voting Votes,Marilyn C. Herring (Rep)_Absentee by Mail Votes,Marilyn C. Herring (Rep)_Provisional Votes,Marilyn C. Herring (Rep)_Choice Total,Total,
0,Worth,Sylvester East,1406,198,505,127,0,830,830,
1,Worth,Poulan,887,242,227,65,0,534,534,
2,Worth,Sumner,871,226,206,63,0,495,495,
3,Worth,Shingler,554,187,158,41,0,386,386,
