index,County,Precinct,Registered Voters,Don Whitaker (I) (Rep)_Election Day Votes,Don Whitaker (I) (Rep)_Advanced Voting Votes,Don Whitaker (I) (Rep)_Absentee by Mail Votes,Don Whitaker (I) (Rep)_Provisional Votes,Don Whitaker (I) (Rep)_Choice Total,Total,
0,Worth,Sylvester,3006,257,677,269,0,1203,1203,
1,Worth,Scooterville,603,202,151,38,0,391,391,
2,Worth,Minton,543,192,161,41,0,394,394,
3,Worth,Bridgeboro,1286,319,345,89,0,753,753,
4,Worth,County Line,887,185,205,69,0,459,459,
5,Worth,Isabella,1424,280,532,122,0,934,934,
6,Worth,Piney Woods,336,55,82,28,0,165,165,
7,Worth,Sylvester East,1406,197,526,130,0,853,853,
8,Worth,Poulan,887,248,232,63,0,543,543,
9,Worth,Sumner,871,232,212,67,0,511,511,
10,Worth,Shingler,554,187,162,42,0,391,391,
11,Worth,Red Rock,1287,303,266,85,0,654,654,
12,Worth,Doles,449,153,103,37,0,293,293,
13,Worth,Oakfield,229,60,48,19,0,127,127,
14,Worth,Warwick,701,216,128,78,0,422,422,
