index,County,Precinct,Registered Voters,Fred Dent (I) (Rep)_Election Day Votes,Fred Dent (I) (Rep)_Advanced Voting Votes,Fred Dent (I) (Rep)_Absentee by Mail Votes,Fred Dent (I) (Rep)_Provisional Votes,Fred Dent (I) (Rep)_Choice Total,Total,
0,Worth,Sylvester,3006,252,621,252,0,1125,1125,
1,Worth,Scooterville,603,198,150,35,0,383,383,
2,Worth,Minton,543,191,155,38,0,384,384,
3,Worth,Bridgeboro,1286,318,342,85,0,745,745,
4,Worth,County Line,887,183,198,69,0,450,450,
5,Worth,Isabella,1424,277,517,120,0,914,914,
6,Worth,Piney Woods,336,52,73,27,0,152,152,
7,Worth,Sylvester East,1406,193,500,124,0,817,817,
8,Worth,Poulan,887,238,227,62,0,527,527,
9,Worth,Sumner,871,223,204,64,0,491,491,
10,Worth,Shingler,554,184,157,42,0,383,383,
11,Worth,Red Rock,1287,299,255,82,0,636,636,
12,Worth,Doles,449,153,101,35,0,289,289,
13,Worth,Oakfield,229,58,47,19,0,124,124,
14,Worth,Warwick,701,210,122,79,0,411,411,
