index,County,Precinct,Registered Voters,Casey Rouse (Rep)_Election Day Votes,Casey Rouse (Rep)_Advanced Voting Votes,Casey Rouse (Rep)_Absentee by Mail Votes,Casey Rouse (Rep)_Provisional Votes,Casey Rouse (Rep)_Choice Total,Total,
0,Worth,Sylvester,3006,258,635,247,0,1140,1140,
1,Worth,Scooterville,603,197,149,37,0,383,383,
2,Worth,Minton,543,188,157,39,0,384,384,
3,Worth,Bridgeboro,1286,320,339,87,0,746,746,
4,Worth,County Line,887,184,204,67,0,455,455,
5,Worth,Isabella,1424,274,524,118,0,916,916,
6,Worth,Piney Woods,336,53,76,27,0,156,156,
7,Worth,Sylvester East,1406,192,504,125,0,821,821,
8,Worth,Poulan,887,240,224,64,0,528,528,
9,Worth,Sumner,871,230,207,64,0,501,501,
10,Worth,Shingler,554,188,160,42,0,390,390,
11,Worth,Red Rock,1287,298,256,82,0,636,636,
12,Worth,Doles,449,155,100,36,0,291,291,
13,Worth,Oakfield,229,58,48,19,0,125,125,
14,Worth,Warwick,701,211,122,80,0,413,413,
