index,County,Precinct,Registered Voters,Carden H. Summers (I) (Rep)_Election Day Votes,Carden H. Summers (I) (Rep)_Advanced Voting Votes,Carden H. Summers (I) (Rep)_Absentee by Mail Votes,Carden H. Summers (I) (Rep)_Provisional Votes,Carden H. Summers (I) (Rep)_Choice Total,Mary Egler (Dem)_Election Day Votes,Mary Egler (Dem)_Advanced Voting Votes,Mary Egler (Dem)_Absentee by Mail Votes,Mary Egler (Dem)_Provisional Votes,Mary Egler (Dem)_Choice Total,Total,
0,Worth,Sylvester,3006,128,419,100,0,647,214,414,321,0,949,1596,
1,Worth,Scooterville,603,193,145,34,0,372,6,6,9,0,21,393,
2,Worth,Minton,543,180,151,36,0,367,6,9,12,0,27,394,
3,Worth,Bridgeboro,1286,292,307,74,0,673,39,53,38,0,130,803,
4,Worth,County Line,887,171,180,44,0,395,14,36,34,0,84,479,
5,Worth,Isabella,1424,261,491,114,0,866,28,70,24,0,122,988,
6,Worth,Piney Woods,336,45,58,16,0,119,22,38,21,0,81,200,
7,Worth,Sylvester East,1406,169,445,100,0,714,37,107,60,0,204,918,
8,Worth,Poulan,887,222,201,49,0,472,29,43,33,0,105,577,
9,Worth,Sumner,871,218,193,48,0,459,29,35,43,0,107,566,
10,Worth,Shingler,554,185,152,35,0,372,7,18,16,0,41,413,
11,Worth,Red Rock,1287,275,233,58,0,566,39,46,60,0,145,711,
12,Worth,Doles,449,156,95,33,0,284,5,14,10,0,29,313,
13,Worth,Oakfield,229,55,42,6,0,103,6,14,27,0,47,150,
14,Worth,Warwick,701,175,117,42,0,334,58,21,59,0,138,472,
