index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Worth,Sylvester,3006,125,407,85,0,617,212,415,328,0,955,8,16,6,0,30,1602,
1,Worth,Scooterville,603,189,140,34,0,363,6,9,9,0,24,3,3,0,0,6,393,
2,Worth,Minton,543,179,147,36,0,362,8,8,12,0,28,3,4,0,0,7,397,
3,Worth,Bridgeboro,1286,285,308,72,0,665,39,48,38,0,125,7,6,2,0,15,805,
4,Worth,County Line,887,169,181,41,0,391,13,34,36,0,83,3,1,1,0,5,479,
5,Worth,Isabella,1424,260,481,109,0,850,25,64,24,0,113,3,11,3,0,17,980,
6,Worth,Piney Woods,336,42,59,15,0,116,24,39,22,0,85,2,0,0,0,2,203,
7,Worth,Sylvester East,1406,169,434,97,0,700,32,108,60,0,200,6,8,1,0,15,915,
8,Worth,Poulan,887,216,203,47,0,466,31,42,32,0,105,5,0,2,0,7,578,
9,Worth,Sumner,871,210,190,45,0,445,28,34,41,0,103,4,2,3,0,9,557,
10,Worth,Shingler,554,178,151,34,0,363,9,18,18,0,45,1,1,0,0,2,410,
11,Worth,Red Rock,1287,272,231,54,0,557,37,47,63,0,147,7,4,2,0,13,717,
12,Worth,Doles,449,154,89,33,0,276,4,14,8,0,26,1,2,0,0,3,305,
13,Worth,Oakfield,229,55,39,6,0,100,6,11,25,0,42,0,4,0,0,4,146,
14,Worth,Warwick,701,169,114,40,0,323,58,19,59,0,136,5,1,1,0,7,466,
