index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Worth,Sylvester,3006,121,404,87,0,612,213,423,326,0,962,8,18,10,0,36,1610,
1,Worth,Scooterville,603,191,147,34,0,372,7,5,9,0,21,4,2,0,0,6,399,
2,Worth,Minton,543,183,151,36,0,370,7,8,11,0,26,1,3,1,0,5,401,
3,Worth,Bridgeboro,1286,288,305,73,0,666,43,50,37,0,130,7,7,4,0,18,814,
4,Worth,County Line,887,171,182,46,0,399,12,38,34,0,84,5,1,2,0,8,491,
5,Worth,Isabella,1424,263,485,110,0,858,24,62,24,0,110,5,12,5,0,22,990,
6,Worth,Piney Woods,336,42,58,15,0,115,23,40,22,0,85,2,1,0,0,3,203,
7,Worth,Sylvester East,1406,171,435,94,0,700,30,108,63,0,201,6,13,2,0,21,922,
8,Worth,Poulan,887,220,204,45,0,469,29,42,35,0,106,4,0,2,0,6,581,
9,Worth,Sumner,871,212,192,48,0,452,30,34,40,0,104,4,3,2,0,9,565,
10,Worth,Shingler,554,181,155,35,0,371,9,17,17,0,43,2,1,1,0,4,418,
11,Worth,Red Rock,1287,271,234,55,0,560,38,48,59,0,145,9,3,6,0,18,723,
12,Worth,Doles,449,154,92,34,0,280,7,13,8,0,28,0,2,1,0,3,311,
13,Worth,Oakfield,229,56,40,6,0,102,5,13,27,0,45,1,3,0,0,4,151,
14,Worth,Warwick,701,173,114,39,0,326,57,17,61,0,135,4,2,3,0,9,470,
