StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,1,Appling,I) (Rep,David A. Perdue,Absentee by Mail Votes,837
13,1,Appling,I) (Rep,David A. Perdue,Advanced Voting Votes,3774
13,1,Appling,I) (Rep,David A. Perdue,Election Day Votes,1686
13,1,Appling,I) (Rep,David A. Perdue,Provisional Votes,9
13,1,Appling,I) (Rep,David A. Perdue,TOTAL VOTES,6306
13,1,Appling,Dem,Jon Ossoff,Absentee by Mail Votes,553
13,1,Appling,Dem,Jon Ossoff,Advanced Voting Votes,845
13,1,Appling,Dem,Jon Ossoff,Election Day Votes,352
13,1,Appling,Dem,Jon Ossoff,Provisional Votes,3
13,1,Appling,Dem,Jon Ossoff,TOTAL VOTES,1753
13,1,Appling,Lib,Shane Hazel,Absentee by Mail Votes,21
13,1,Appling,Lib,Shane Hazel,Advanced Voting Votes,74
13,1,Appling,Lib,Shane Hazel,Election Day Votes,33
13,1,Appling,Lib,Shane Hazel,Provisional Votes,0
13,1,Appling,Lib,Shane Hazel,TOTAL VOTES,128
13,3,Atkinson,I) (Rep,David A. Perdue,Absentee by Mail Votes,170
13,3,Atkinson,I) (Rep,David A. Perdue,Advanced Voting Votes,1392
13,3,Atkinson,I) (Rep,David A. Perdue,Election Day Votes,709
13,3,Atkinson,I) (Rep,David A. Perdue,Provisional Votes,1
13,3,Atkinson,I) (Rep,David A. Perdue,TOTAL VOTES,2272
13,3,Atkinson,Dem,Jon Ossoff,Absentee by Mail Votes,123
13,3,Atkinson,Dem,Jon Ossoff,Advanced Voting Votes,430
13,3,Atkinson,Dem,Jon Ossoff,Election Day Votes,220
13,3,Atkinson,Dem,Jon Ossoff,Provisional Votes,0
13,3,Atkinson,Dem,Jon Ossoff,TOTAL VOTES,773
13,3,Atkinson,Lib,Shane Hazel,Absentee by Mail Votes,3
13,3,Atkinson,Lib,Shane Hazel,Advanced Voting Votes,26
13,3,Atkinson,Lib,Shane Hazel,Election Day Votes,23
13,3,Atkinson,Lib,Shane Hazel,Provisional Votes,0
13,3,Atkinson,Lib,Shane Hazel,TOTAL VOTES,52
13,5,Bacon,I) (Rep,David A. Perdue,Absentee by Mail Votes,465
13,5,Bacon,I) (Rep,David A. Perdue,Advanced Voting Votes,3047
13,5,Bacon,I) (Rep,David A. Perdue,Election Day Votes,417
13,5,Bacon,I) (Rep,David A. Perdue,Provisional Votes,0
13,5,Bacon,I) (Rep,David A. Perdue,TOTAL VOTES,3929
13,5,Bacon,Dem,Jon Ossoff,Absentee by Mail Votes,187
13,5,Bacon,Dem,Jon Ossoff,Advanced Voting Votes,276
13,5,Bacon,Dem,Jon Ossoff,Election Day Votes,127
13,5,Bacon,Dem,Jon Ossoff,Provisional Votes,1
13,5,Bacon,Dem,Jon Ossoff,TOTAL VOTES,591
13,5,Bacon,Lib,Shane Hazel,Absentee by Mail Votes,9
13,5,Bacon,Lib,Shane Hazel,Advanced Voting Votes,37
13,5,Bacon,Lib,Shane Hazel,Election Day Votes,24
13,5,Bacon,Lib,Shane Hazel,Provisional Votes,0
13,5,Bacon,Lib,Shane Hazel,TOTAL VOTES,70
13,7,Baker,I) (Rep,David A. Perdue,Absentee by Mail Votes,131
13,7,Baker,I) (Rep,David A. Perdue,Advanced Voting Votes,451
13,7,Baker,I) (Rep,David A. Perdue,Election Day Votes,289
13,7,Baker,I) (Rep,David A. Perdue,Provisional Votes,2
13,7,Baker,I) (Rep,David A. Perdue,TOTAL VOTES,873
13,7,Baker,Dem,Jon Ossoff,Absentee by Mail Votes,230
13,7,Baker,Dem,Jon Ossoff,Advanced Voting Votes,273
13,7,Baker,Dem,Jon Ossoff,Election Day Votes,145
13,7,Baker,Dem,Jon Ossoff,Provisional Votes,0
13,7,Baker,Dem,Jon Ossoff,TOTAL VOTES,648
13,7,Baker,Lib,Shane Hazel,Absentee by Mail Votes,2
13,7,Baker,Lib,Shane Hazel,Advanced Voting Votes,7
13,7,Baker,Lib,Shane Hazel,Election Day Votes,4
13,7,Baker,Lib,Shane Hazel,Provisional Votes,0
13,7,Baker,Lib,Shane Hazel,TOTAL VOTES,13
13,9,Baldwin,I) (Rep,David A. Perdue,Absentee by Mail Votes,1291
13,9,Baldwin,I) (Rep,David A. Perdue,Advanced Voting Votes,5733
13,9,Baldwin,I) (Rep,David A. Perdue,Election Day Votes,1845
13,9,Baldwin,I) (Rep,David A. Perdue,Provisional Votes,4
13,9,Baldwin,I) (Rep,David A. Perdue,TOTAL VOTES,8873
13,9,Baldwin,Dem,Jon Ossoff,Absentee by Mail Votes,2837
13,9,Baldwin,Dem,Jon Ossoff,Advanced Voting Votes,4445
13,9,Baldwin,Dem,Jon Ossoff,Election Day Votes,1500
13,9,Baldwin,Dem,Jon Ossoff,Provisional Votes,1
13,9,Baldwin,Dem,Jon Ossoff,TOTAL VOTES,8783
13,9,Baldwin,Lib,Shane Hazel,Absentee by Mail Votes,93
13,9,Baldwin,Lib,Shane Hazel,Advanced Voting Votes,223
13,9,Baldwin,Lib,Shane Hazel,Election Day Votes,110
13,9,Baldwin,Lib,Shane Hazel,Provisional Votes,0
13,9,Baldwin,Lib,Shane Hazel,TOTAL VOTES,426
13,11,Banks,I) (Rep,David A. Perdue,Absentee by Mail Votes,982
13,11,Banks,I) (Rep,David A. Perdue,Advanced Voting Votes,5048
13,11,Banks,I) (Rep,David A. Perdue,Election Day Votes,1595
13,11,Banks,I) (Rep,David A. Perdue,Provisional Votes,11
13,11,Banks,I) (Rep,David A. Perdue,TOTAL VOTES,7636
13,11,Banks,Dem,Jon Ossoff,Absentee by Mail Votes,325
13,11,Banks,Dem,Jon Ossoff,Advanced Voting Votes,420
13,11,Banks,Dem,Jon Ossoff,Election Day Votes,152
13,11,Banks,Dem,Jon Ossoff,Provisional Votes,2
13,11,Banks,Dem,Jon Ossoff,TOTAL VOTES,899
13,11,Banks,Lib,Shane Hazel,Absentee by Mail Votes,27
13,11,Banks,Lib,Shane Hazel,Advanced Voting Votes,106
13,11,Banks,Lib,Shane Hazel,Election Day Votes,56
13,11,Banks,Lib,Shane Hazel,Provisional Votes,1
13,11,Banks,Lib,Shane Hazel,TOTAL VOTES,190
13,13,Barrow,I) (Rep,David A. Perdue,Absentee by Mail Votes,4024
13,13,Barrow,I) (Rep,David A. Perdue,Advanced Voting Votes,16606
13,13,Barrow,I) (Rep,David A. Perdue,Election Day Votes,5685
13,13,Barrow,I) (Rep,David A. Perdue,Provisional Votes,2
13,13,Barrow,I) (Rep,David A. Perdue,TOTAL VOTES,26317
13,13,Barrow,Dem,Jon Ossoff,Absentee by Mail Votes,3334
