index,County,Precinct,Registered Voters,Linda Pittman (Rep)_Election Day Votes,Linda Pittman (Rep)_Advanced Voting Votes,Linda Pittman (Rep)_Absentee by Mail Votes,Linda Pittman (Rep)_Provisional Votes,Linda Pittman (Rep)_Choice Total,Tracey Herrington (Dem)_Election Day Votes,Tracey Herrington (Dem)_Advanced Voting Votes,Tracey Herrington (Dem)_Absentee by Mail Votes,Tracey Herrington (Dem)_Provisional Votes,Tracey Herrington (Dem)_Choice Total,Total,
0,Jenkins,Primary School,974,37,113,38,0,188,101,189,127,0,417,605,
1,Jenkins,Court House,1039,38,135,57,0,230,86,213,99,0,398,628,
2,Jenkins,Perkins,1021,95,202,63,0,360,71,183,82,3,339,699,
3,Jenkins,Senior Citizens Center,974,89,190,54,0,333,74,213,69,0,356,689,
4,Jenkins,Four Points,1058,150,146,57,0,353,121,157,77,1,356,709,
