index,County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total,
0,Jenkins,Primary School,974,49,149,49,0,247,89,151,119,0,359,606,
1,Jenkins,Court House,1039,44,200,60,0,304,82,154,111,0,347,651,
2,Jenkins,Perkins,1021,131,321,86,3,541,31,63,56,0,150,691,
3,Jenkins,Senior Citizens Center,974,145,355,93,0,593,18,49,34,0,101,694,
4,Jenkins,Four Points,1058,207,212,70,0,489,62,95,66,1,224,713,
