index,County,Precinct,Registered Voters,Robert L. Oglesby (I) (Dem)_Election Day Votes,Robert L. Oglesby (I) (Dem)_Advanced Voting Votes,Robert L. Oglesby (I) (Dem)_Absentee by Mail Votes,Robert L. Oglesby (I) (Dem)_Provisional Votes,Robert L. Oglesby (I) (Dem)_Choice Total,Total,
0,Jenkins,Primary School,974,128,264,147,0,539,539,
1,Jenkins,Court House,1039,112,320,140,0,572,572,
2,Jenkins,Perkins,1021,150,357,133,3,643,643,
3,Jenkins,Senior Citizens Center,974,144,367,113,0,624,624,
4,Jenkins,Four Points,1058,246,291,112,1,650,650,
