index,County,Precinct,Registered Voters,Max Burns (Rep)_Election Day Votes,Max Burns (Rep)_Advanced Voting Votes,Max Burns (Rep)_Absentee by Mail Votes,Max Burns (Rep)_Provisional Votes,Max Burns (Rep)_Choice Total,Ceretta Smith (Dem)_Election Day Votes,Ceretta Smith (Dem)_Advanced Voting Votes,Ceretta Smith (Dem)_Absentee by Mail Votes,Ceretta Smith (Dem)_Provisional Votes,Ceretta Smith (Dem)_Choice Total,Total,
0,Jenkins,Primary School,974,45,148,46,0,239,93,151,124,0,368,607,
1,Jenkins,Court House,1039,40,193,57,0,290,80,156,116,0,352,642,
2,Jenkins,Perkins,1021,130,313,87,3,533,34,63,56,0,153,686,
3,Jenkins,Senior Citizens Center,974,143,351,91,0,585,18,50,36,0,104,689,
4,Jenkins,Four Points,1058,207,212,68,0,487,61,94,69,1,225,712,
