index,County,Precinct,Registered Voters,Henry Young (I) (Dem)_Election Day Votes,Henry Young (I) (Dem)_Advanced Voting Votes,Henry Young (I) (Dem)_Absentee by Mail Votes,Henry Young (I) (Dem)_Provisional Votes,Henry Young (I) (Dem)_Choice Total,Total,
0,Jenkins,Primary School,974,135,290,153,0,578,578,
1,Jenkins,Court House,1039,124,338,153,0,615,615,
2,Jenkins,Perkins,1021,151,358,132,3,644,644,
3,Jenkins,Senior Citizens Center,974,153,370,123,0,646,646,
4,Jenkins,Four Points,1058,247,285,130,1,663,663,
