index,County,Precinct,Registered Voters,Steven Meeks (I) (Rep)_Election Day Votes,Steven Meeks (I) (Rep)_Advanced Voting Votes,Steven Meeks (I) (Rep)_Absentee by Mail Votes,Steven Meeks (I) (Rep)_Provisional Votes,Steven Meeks (I) (Rep)_Choice Total,Total,
0,Brantley,Hoboken,3394,628,1296,253,0,2177,2177,
1,Brantley,Nahunta,4208,529,1677,259,4,2469,2469,
2,Brantley,Waynesville,4286,812,1276,226,3,2317,2317,
