index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Brantley,Hoboken,3394,450,917,218,0,1585,163,334,54,0,551,2136,
1,Brantley,Nahunta,4208,394,1271,224,4,1893,130,411,58,0,599,2492,
2,Brantley,Waynesville,4286,637,1024,222,3,1886,172,269,43,0,484,2370,
