index,County,Precinct,Registered Voters,Harry Strickland (I) (Rep)_Election Day Votes,Harry Strickland (I) (Rep)_Advanced Voting Votes,Harry Strickland (I) (Rep)_Absentee by Mail Votes,Harry Strickland (I) (Rep)_Provisional Votes,Harry Strickland (I) (Rep)_Choice Total,Total,
0,Brantley,Hoboken,3394,628,1294,255,0,2177,2177,
1,Brantley,Nahunta,4208,541,1720,268,5,2534,2534,
2,Brantley,Waynesville,4286,813,1281,230,3,2327,2327,
