index,County,Precinct,Registered Voters,Chris_Election Day Votes,Chris_Advanced Voting Votes,Chris_Absentee by Mail Votes,Chris_Provisional Votes,Chris_Choice Total,Total,
0,Brantley,Hoboken,3394,533,1096,232,0,1861,1861,
1,Brantley,Nahunta,4208,435,1383,223,5,2046,2046,
2,Brantley,Waynesville,4286,733,1092,209,2,2036,2036,
