index,County,Precinct,Registered Voters,Dale Rutledge (I) (Rep)_Election Day Votes,Dale Rutledge (I) (Rep)_Advanced Voting Votes,Dale Rutledge (I) (Rep)_Absentee by Mail Votes,Dale Rutledge (I) (Rep)_Provisional Votes,Dale Rutledge (I) (Rep)_Choice Total,Regina Lewis-Ward (Dem)_Election Day Votes,Regina Lewis-Ward (Dem)_Advanced Voting Votes,Regina Lewis-Ward (Dem)_Absentee by Mail Votes,Regina Lewis-Ward (Dem)_Provisional Votes,Regina Lewis-Ward (Dem)_Choice Total,Total,
0,Rockdale,BA,4803,228,775,283,0,1286,250,1286,635,0,2171,3457,
1,Rockdale,MA,3180,106,215,95,0,416,74,246,131,0,451,867,
