index,County,Precinct,Registered Voters,Doreen Carter (I) (Dem)_Election Day Votes,Doreen Carter (I) (Dem)_Advanced Voting Votes,Doreen Carter (I) (Dem)_Absentee by Mail Votes,Doreen Carter (I) (Dem)_Provisional Votes,Doreen Carter (I) (Dem)_Choice Total,Total,
0,Rockdale,BT,4007,201,535,313,1,1050,1050,
1,Rockdale,CO,3862,343,1069,495,1,1908,1908,
2,Rockdale,FS,4038,85,247,111,0,443,443,
3,Rockdale,HI,3515,86,497,244,0,827,827,
4,Rockdale,LA,2001,160,463,376,0,999,999,
5,Rockdale,MI,4226,308,1353,635,3,2299,2299,
6,Rockdale,OT,6135,288,1373,701,1,2363,2363,
