index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Rockdale,BA,4803,364,1574,756,0,2694,109,436,144,1,690,3384,
1,Rockdale,BT,4007,451,1008,556,1,2016,133,304,109,4,550,2566,
2,Rockdale,CO,3862,275,893,444,4,1616,104,250,96,0,450,2066,
3,Rockdale,FI,6328,329,1954,1011,0,3294,110,511,226,0,847,4141,
4,Rockdale,FS,4038,217,1209,695,0,2121,72,345,119,0,536,2657,
5,Rockdale,HC,2411,187,755,370,0,1312,67,213,77,0,357,1669,
6,Rockdale,HI,3515,205,1064,534,0,1803,69,349,98,0,516,2319,
7,Rockdale,LA,2001,153,431,336,0,920,42,121,98,0,261,1181,
8,Rockdale,LO,3943,414,1217,685,1,2317,135,333,115,0,583,2900,
9,Rockdale,MA,3180,310,932,461,0,1703,73,256,107,1,437,2140,
10,Rockdale,MI,4226,253,1169,573,2,1997,94,322,101,2,519,2516,
11,Rockdale,OT,6135,345,1621,803,3,2772,106,442,190,1,739,3511,
12,Rockdale,RO,4633,282,1470,687,1,2440,96,370,146,0,612,3052,
13,Rockdale,SM,4308,225,1459,660,2,2346,62,387,160,3,612,2958,
14,Rockdale,SP,4781,284,1593,703,1,2581,75,439,140,1,655,3236,
15,Rockdale,ST,3334,172,1068,565,2,1807,75,311,110,2,498,2305,
