index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Rockdale,BA,4803,216,747,271,0,1234,240,1256,625,1,2122,18,42,16,0,76,3432,
1,Rockdale,BT,4007,432,789,301,3,1525,151,510,346,1,1008,33,43,22,0,98,2631,
2,Rockdale,CO,3862,104,229,105,2,440,276,925,436,2,1639,12,29,10,0,51,2130,
3,Rockdale,FI,6328,61,345,158,0,564,365,2130,1076,0,3571,23,49,34,0,106,4241,
4,Rockdale,FS,4038,77,308,181,0,566,207,1242,629,0,2078,13,33,12,0,58,2702,
5,Rockdale,HC,2411,137,441,165,0,743,115,518,285,0,918,12,26,9,0,47,1708,
6,Rockdale,HI,3515,118,492,172,0,782,162,936,466,0,1564,11,30,12,0,53,2399,
7,Rockdale,LA,2001,79,161,97,0,337,107,372,330,0,809,12,23,5,0,40,1186,
8,Rockdale,LO,3943,338,594,249,1,1182,198,969,561,0,1728,19,22,10,0,51,2961,
9,Rockdale,MA,3180,216,522,206,0,944,147,647,354,1,1149,29,28,14,0,71,2164,
10,Rockdale,MI,4226,88,318,126,0,532,237,1173,573,4,1987,24,37,10,1,72,2591,
11,Rockdale,OT,6135,62,297,158,1,518,383,1764,846,4,2997,14,46,21,0,81,3596,
12,Rockdale,RO,4633,113,484,185,0,782,248,1356,648,2,2254,21,41,16,0,78,3114,
13,Rockdale,SM,4308,85,487,175,2,749,191,1376,651,3,2221,19,37,15,0,71,3041,
14,Rockdale,SP,4781,90,456,191,1,738,257,1595,659,0,2511,21,34,13,1,69,3318,
15,Rockdale,ST,3334,106,545,233,2,886,131,820,445,1,1397,20,40,17,0,77,2360,
