index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Rockdale,BA,4803,219,766,269,0,1254,251,1287,624,1,2163,18,32,16,0,66,3483,
1,Rockdale,BT,4007,456,800,308,3,1567,176,548,366,1,1091,12,31,14,0,57,2715,
2,Rockdale,CO,3862,105,239,106,2,452,287,950,431,2,1670,10,23,12,0,45,2167,
3,Rockdale,FI,6328,73,354,155,0,582,365,2164,1066,0,3595,20,39,26,0,85,4262,
4,Rockdale,FS,4038,84,313,174,0,571,212,1281,653,0,2146,10,24,8,0,42,2759,
5,Rockdale,HC,2411,139,454,168,0,761,121,534,279,0,934,14,17,11,0,42,1737,
6,Rockdale,HI,3515,129,511,165,0,805,164,959,475,0,1598,7,23,13,0,43,2446,
7,Rockdale,LA,2001,79,170,91,0,340,120,385,331,0,836,5,19,8,0,32,1208,
8,Rockdale,LO,3943,352,607,240,1,1200,208,997,567,0,1772,10,14,11,0,35,3007,
9,Rockdale,MA,3180,225,525,201,0,951,158,677,357,1,1193,21,23,14,0,58,2202,
10,Rockdale,MI,4226,95,318,124,0,537,246,1202,565,5,2018,19,34,12,0,65,2620,
11,Rockdale,OT,6135,61,292,173,1,527,396,1805,823,4,3028,13,53,15,0,81,3636,
12,Rockdale,RO,4633,121,494,181,0,796,260,1392,653,2,2307,9,29,18,0,56,3159,
13,Rockdale,SM,4308,92,483,178,2,755,199,1421,652,3,2275,14,35,15,0,64,3094,
14,Rockdale,SP,4781,88,463,182,2,735,267,1631,657,0,2555,18,28,20,0,66,3356,
15,Rockdale,ST,3334,100,546,234,3,883,144,850,465,1,1460,17,38,14,0,69,2412,
