index,County,Precinct,Registered Voters,Rhonda S. Taylor (Dem)_Election Day Votes,Rhonda S. Taylor (Dem)_Advanced Voting Votes,Rhonda S. Taylor (Dem)_Absentee by Mail Votes,Rhonda S. Taylor (Dem)_Provisional Votes,Rhonda S. Taylor (Dem)_Choice Total,Total,
0,Rockdale,FI,6328,86,671,353,0,1110,1110,
1,Rockdale,FS,4038,169,1146,596,0,1911,1911,
2,Rockdale,HC,2411,178,715,351,0,1244,1244,
3,Rockdale,MA,3180,146,561,287,0,994,994,
4,Rockdale,OT,6135,107,419,191,0,717,717,
5,Rockdale,RO,4633,318,1579,724,2,2623,2623,
6,Rockdale,SM,4308,252,1616,737,3,2608,2608,
7,Rockdale,SP,4781,319,1831,744,1,2895,2895,
8,Rockdale,ST,3334,189,1072,526,2,1789,1789,
