index,County,Precinct,Registered Voters,Oz Nesbitt (I) (Dem)_Election Day Votes,Oz Nesbitt (I) (Dem)_Advanced Voting Votes,Oz Nesbitt (I) (Dem)_Absentee by Mail Votes,Oz Nesbitt (I) (Dem)_Provisional Votes,Oz Nesbitt (I) (Dem)_Choice Total,Total,
0,Rockdale,BA,4803,364,1578,755,1,2698,2698,
1,Rockdale,BT,4007,361,824,459,3,1647,1647,
2,Rockdale,CO,3862,345,1067,470,3,1885,1885,
3,Rockdale,FI,6328,412,2322,1154,0,3888,3888,
4,Rockdale,FS,4038,256,1389,705,0,2350,2350,
5,Rockdale,HC,2411,178,700,341,0,1219,1219,
6,Rockdale,HI,3515,223,1142,534,0,1899,1899,
7,Rockdale,LA,2001,164,445,362,0,971,971,
8,Rockdale,LO,3943,375,1220,657,0,2252,2252,
9,Rockdale,MA,3180,274,909,441,1,1625,1625,
10,Rockdale,MI,4226,315,1329,621,4,2269,2269,
11,Rockdale,OT,6135,428,1928,910,4,3270,3270,
12,Rockdale,RO,4633,318,1568,705,1,2592,2592,
13,Rockdale,SM,4308,253,1592,722,5,2572,2572,
14,Rockdale,SP,4781,322,1816,746,1,2885,2885,
15,Rockdale,ST,3334,189,1050,533,3,1775,1775,
