index,County,Precinct,Registered Voters,Brian Strickland (I) (Rep)_Election Day Votes,Brian Strickland (I) (Rep)_Advanced Voting Votes,Brian Strickland (I) (Rep)_Absentee by Mail Votes,Brian Strickland (I) (Rep)_Provisional Votes,Brian Strickland (I) (Rep)_Choice Total,Kelly Rose (Dem)_Election Day Votes,Kelly Rose (Dem)_Advanced Voting Votes,Kelly Rose (Dem)_Absentee by Mail Votes,Kelly Rose (Dem)_Provisional Votes,Kelly Rose (Dem)_Choice Total,Total,
0,Rockdale,BA,4803,229,802,292,0,1323,246,1254,631,0,2131,3454,
1,Rockdale,HC,2411,148,469,176,0,793,119,518,284,0,921,1714,
2,Rockdale,LO,3943,357,619,260,1,1237,202,966,564,0,1732,2969,
3,Rockdale,MA,3180,232,537,225,0,994,159,667,360,0,1186,2180,
