index,County,Precinct,Registered Voters,Sherri L. Washington (I) (Dem)_Election Day Votes,Sherri L. Washington (I) (Dem)_Advanced Voting Votes,Sherri L. Washington (I) (Dem)_Absentee by Mail Votes,Sherri L. Washington (I) (Dem)_Provisional Votes,Sherri L. Washington (I) (Dem)_Choice Total,Total,
0,Rockdale,BA,4803,367,1608,760,1,2736,2736,
1,Rockdale,BT,4007,362,849,464,2,1677,1677,
2,Rockdale,CO,3862,340,1071,480,2,1893,1893,
3,Rockdale,FI,6328,418,2308,1169,0,3895,3895,
4,Rockdale,FS,4038,258,1373,712,0,2343,2343,
5,Rockdale,HC,2411,179,707,348,0,1234,1234,
6,Rockdale,HI,3515,220,1135,546,0,1901,1901,
7,Rockdale,LA,2001,168,456,368,0,992,992,
8,Rockdale,LO,3943,363,1221,664,0,2248,2248,
9,Rockdale,MA,3180,275,911,456,1,1643,1643,
10,Rockdale,MI,4226,306,1336,631,4,2277,2277,
11,Rockdale,OT,6135,425,1932,913,4,3274,3274,
12,Rockdale,RO,4633,312,1565,706,1,2584,2584,
13,Rockdale,SM,4308,250,1607,727,4,2588,2588,
14,Rockdale,SP,4781,317,1830,754,2,2903,2903,
15,Rockdale,ST,3334,192,1063,529,2,1786,1786,
